Dates,Sentiment Score,Sentiment
2023-01-09,0.0,neutral
2023-01-10,0.003472222222222222,neutral
2023-01-11,0.023327272727272724,neutral
2023-01-12,0.04905462184873949,neutral
2023-02-08,0.008333333333333333,neutral
2023-02-09,-0.009523809523809525,neutral
2023-02-10,0.0,neutral
2023-02-11,0.0071428571428571435,neutral
2023-02-12,0.0,neutral
2023-03-08,0.0,neutral
2023-03-09,0.0,neutral
2023-03-10,0.0,neutral
2023-03-11,0.007051282051282052,neutral
2023-03-12,0.0,neutral
2023-04-08,0.011764705882352941,neutral
2023-04-09,0.04404761904761905,neutral
2023-04-10,0.0022486772486772486,neutral
2023-04-11,0.0,neutral
2023-04-12,0.0,neutral
2023-05-08,0.0,neutral
2023-05-09,0.03125,neutral
2023-05-10,0.07246314496314496,neutral
2023-05-11,0.010714285714285713,neutral
2023-05-12,0.011111111111111112,neutral
2023-06-08,0.025,neutral
2023-06-09,0.015255731922398588,neutral
2023-06-10,0.05,neutral
2023-06-11,0.002173913043478261,neutral
2023-06-12,0.0,neutral
2023-07-08,0.057127192982456144,neutral
2023-07-09,0.08139534883720931,neutral
2023-07-10,0.010638297872340425,neutral
2023-07-11,0.0848015873015873,neutral
2023-07-12,0.0,neutral
2023-08-08,0.005747126436781608,neutral
2023-08-09,-0.008620689655172414,neutral
2023-08-10,0.00367003367003367,neutral
2023-08-11,0.0,neutral
2023-08-12,0.0,neutral
2023-08-13,0.0,neutral
2023-08-14,-0.0025,neutral
2023-08-15,0.1142857142857143,positive
2023-08-16,-0.0038461538461538464,neutral
2023-08-17,0.007091097308488612,neutral
2023-08-18,0.04882232462877624,neutral
2023-08-19,0.0,neutral
2023-08-20,-0.009601731601731603,neutral
2023-08-21,0.014124293785310734,neutral
2023-08-22,0.02564102564102564,neutral
2023-08-23,-0.0013480392156862747,neutral
2023-08-24,0.043333333333333335,neutral
2023-08-25,0.007812500000000002,neutral
2023-08-26,0.04122807017543859,neutral
2023-08-27,0.0,neutral
2023-08-28,0.0,neutral
2023-08-29,0.1473684210526316,positive
2023-08-30,0.02,neutral
2023-08-31,0.0,neutral
2023-09-08,0.005555555555555555,neutral
2023-09-09,0.0,neutral
2023-09-10,0.0,neutral
2023-09-11,0.07675736961451247,neutral
2023-09-12,0.0,neutral
2023-09-13,0.056249999999999994,neutral
